test,page,difficulty
SAT1,1,Medium
SAT1,2,Medium
SAT1,3,Medium
SAT1,4,Hard
SAT1,5,Easy
SAT1,6,Medium
SAT1,7,Medium
SAT1,8,Medium
SAT1,9,Medium
SAT1,10,Easy
SAT1,11,Medium
SAT1,12,Medium
SAT1,13,Medium
SAT1,14,Hard
SAT1,15,Easy
SAT2,1,Medium
SAT2,2,Medium
SAT2,3,Easy
SAT2,4,Easy
SAT2,5,Medium
SAT2,6,Medium
SAT2,7,Easy
SAT2,8,Medium
SAT2,9,Medium
SAT2,10,Easy
SAT2,11,Medium
SAT2,12,Medium
SAT2,13,Hard
SAT2,14,Hard
SAT2,15,Easy
SAT3,1,Easy
SAT3,2,Medium
SAT3,3,Medium
SAT3,4,Hard
SAT3,5,Hard
SAT3,6,Medium
SAT3,7,Easy
SAT3,8,Medium
SAT3,9,Hard
SAT3,10,Easy
SAT3,11,Medium
SAT3,12,Medium
SAT3,13,Hard
SAT3,14,Hard
SAT3,15,Easy
SAT4,1,Easy
SAT4,2,Medium
SAT4,3,Medium
SAT4,4,Medium
SAT4,5,Hard
SAT4,6,Medium
SAT4,7,Easy
SAT4,8,Medium
SAT4,9,Medium
SAT4,10,Easy
SAT4,11,Medium
SAT4,12,Hard
SAT4,13,Hard
SAT4,14,Hard
SAT4,15,Easy
SAT5,1,Medium
SAT5,2,Medium
SAT5,3,Medium
SAT5,4,Hard
SAT5,5,Easy
SAT5,6,Medium
SAT5,7,Easy
SAT5,8,Medium
SAT5,9,Hard
SAT5,10,Easy
SAT5,11,Medium
SAT5,12,Medium
SAT5,13,Medium
SAT5,14,Hard
SAT5,15,Easy
SAT6,1,Easy
SAT6,2,Medium
SAT6,3,Medium
SAT6,4,Medium
SAT6,5,Medium
SAT6,6,Medium
SAT6,7,Easy
SAT6,8,Medium
SAT6,9,Hard
SAT6,10,Easy
SAT6,11,Medium
SAT6,12,Medium
SAT6,13,Hard
SAT6,14,Hard
SAT6,15,Easy
